node_id,timestamp,ID,geometry,x,y
11962,2732.84066103,11962,POINT (150.7014007568 -33.7584838867),150.701400757,-33.7584838867
11944,2733.66936612,11944,POINT (150.7012939453 -33.7585220337),150.701293945,-33.7585220337
11911,2741.61173583,11911,POINT (150.7009887695 -33.7594833374),150.700988769,-33.7594833374
11873,2749.34816535,11873,POINT (150.7006835938 -33.7604179382),150.700683594,-33.7604179382
11882,2750.17505167,11882,POINT (150.7007446289 -33.7604942322),150.700744629,-33.7604942322
11866,2751.10641016,11866,POINT (150.7006378174 -33.7605476379),150.700637817,-33.7605476379
11842,2756.79859155,11842,POINT (150.7004089355 -33.7612342834),150.700408936,-33.7612342834
11839,2757.38629851,11839,POINT (150.7003936768 -33.7613067627),150.700393677,-33.7613067627
11812,2762.87530754,11812,POINT (150.7001800537 -33.76197052),150.700180054,-33.76197052
11790,2765.61981119,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11790,2799.3905418,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11769,2801.60877536,11769,POINT (150.6999816895 -33.7625694275),150.699981689,-33.7625694275
11757,2803.2444087,11757,POINT (150.6999206543 -33.7627677917),150.699920654,-33.7627677917
11727,2804.70844665,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
11727,2864.70844665,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
11703,2878.47890696,11703,POINT (150.6994934082 -33.7635803223),150.699493408,-33.7635803223
11546,2888.77918923,11546,POINT (150.6987304688 -33.7634811401),150.698730469,-33.7634811401
11546,2948.77918923,11546,POINT (150.6987304688 -33.7634811401),150.698730469,-33.7634811401
11703,2959.0794715,11703,POINT (150.6994934082 -33.7635803223),150.699493408,-33.7635803223
11727,2972.84993182,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
11757,2974.31396977,11757,POINT (150.6999206543 -33.7627677917),150.699920654,-33.7627677917
11769,2975.9496031,11769,POINT (150.6999816895 -33.7625694275),150.699981689,-33.7625694275
11790,2978.16783667,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11812,2980.91234032,11812,POINT (150.7001800537 -33.76197052),150.700180054,-33.76197052
11839,2986.40134935,11839,POINT (150.7003936768 -33.7613067627),150.700393677,-33.7613067627
11842,2986.98905631,11842,POINT (150.7004089355 -33.7612342834),150.700408936,-33.7612342834
11866,2992.6812377,11866,POINT (150.7006378174 -33.7605476379),150.700637817,-33.7605476379
