node_id,timestamp,ID,geometry,x,y
95682,3891.31900234,95682,POINT (151.0710601807 -34.0151252747),151.071060181,-34.0151252747
95719,3892.30996594,95719,POINT (151.0711975098 -34.0151443481),151.07119751,-34.0151443481
95733,3892.98674242,95733,POINT (151.0712585449 -34.0150794983),151.071258545,-34.0150794983
96008,3907.80156687,96008,POINT (151.0723571777 -34.0152320862),151.072357178,-34.0152320862
96220,3922.68087926,96220,POINT (151.0734558105 -34.0154075623),151.073455811,-34.0154075623
96220,3982.68087624,96220,POINT (151.0734558105 -34.0154075623),151.073455811,-34.0154075623
96008,3997.56018863,96008,POINT (151.0723571777 -34.0152320862),151.072357178,-34.0152320862
95733,4012.37501308,95733,POINT (151.0712585449 -34.0150794983),151.071258545,-34.0150794983
95719,4013.05178956,95719,POINT (151.0711975098 -34.0151443481),151.07119751,-34.0151443481
95682,4014.04275316,95682,POINT (151.0710601807 -34.0151252747),151.071060181,-34.0151252747
95675,4014.80013379,95675,POINT (151.0710296631 -34.0150375366),151.071029663,-34.0150375366
94976,4033.88685564,94976,POINT (151.0682067871 -34.0146064758),151.068206787,-34.0146064758
95017,4040.80763262,95017,POINT (151.0684051514 -34.0137557983),151.068405151,-34.0137557983
95028,4042.01300943,95028,POINT (151.0684356689 -34.0136070251),151.068435669,-34.0136070251
94761,4058.51125824,94761,POINT (151.0672149658 -34.0134239197),151.067214966,-34.0134239197
